t,v_{x},v_{y},v
5.51E-01,-6.05E-02,6.01E-02,8.53E-02
5.67E-01,-4.23E-05,-2.66E-04,2.70E-04
5.84E-01,2.84E-04,-9.65E-04,1.01E-03
6.01E-01,-3.77E-04,-2.16E-03,2.19E-03
6.17E-01,-5.50E-04,-1.64E-03,1.73E-03
6.34E-01,1.19E-03,5.71E-04,1.32E-03
6.51E-01,7.17E-04,-2.40E-03,2.50E-03
6.67E-01,-1.38E-03,-4.28E-03,4.50E-03
6.84E-01,-1.74E-05,1.07E-05,2.04E-05
7.01E-01,1.32E-03,1.08E-03,1.71E-03
7.17E-01,2.03E-03,-3.73E-03,4.25E-03
7.34E-01,-1.65E-03,-4.71E-03,4.99E-03
7.51E-01,-2.73E-03,-1.32E-04,2.74E-03
7.67E-01,2.40E-03,3.56E-03,4.29E-03
7.84E-01,2.60E-03,-4.07E-04,2.63E-03
8.01E-01,-3.73E-03,-4.60E-03,5.93E-03
8.17E-01,-2.80E-03,1.92E-03,3.39E-03
8.34E-01,2.26E-03,5.67E-03,6.10E-03
8.51E-01,1.46E-03,1.80E-03,2.32E-03
8.68E-01,-1.94E-03,-2.52E-03,3.18E-03
8.84E-01,-1.93E-03,5.72E-04,2.01E-03
9.01E-01,2.79E-03,5.23E-03,5.93E-03
9.18E-01,2.19E-03,4.32E-04,2.23E-03
9.34E-01,-1.09E-03,-2.89E-03,3.09E-03
9.51E-01,-8.46E-04,1.95E-04,8.68E-04
9.68E-01,7.68E-04,2.01E-03,2.15E-03
9.84E-01,2.76E-03,-3.04E-03,4.11E-03
1.00E+00,5.69E-04,-3.20E-03,3.25E-03
1.02E+00,-3.48E-03,-6.54E-04,3.54E-03
1.03E+00,7.44E-05,1.81E-03,1.81E-03
1.05E+00,1.55E-03,-7.73E-05,1.55E-03
1.07E+00,-4.10E-03,-5.24E-03,6.66E-03
1.08E+00,-7.47E-04,1.89E-03,2.03E-03
1.10E+00,5.08E-03,3.67E-03,6.27E-03
1.12E+00,4.43E-03,-3.37E-03,5.57E-03
1.13E+00,2.71E-04,-6.21E-04,6.78E-04
1.15E+00,-4.25E-03,5.07E-03,6.62E-03
1.17E+00,-1.94E-03,4.33E-03,4.75E-03
1.18E+00,-9.71E-05,2.95E-03,2.95E-03
1.20E+00,-1.04E-03,9.19E-04,1.39E-03
1.22E+00,-1.18E-03,5.40E-03,5.53E-03
1.23E+00,5.56E-04,3.91E-02,3.91E-02
1.25E+00,-2.31E-03,1.26E-01,1.26E-01
1.27E+00,-1.42E-02,3.29E-01,3.29E-01
1.28E+00,-2.17E-02,5.29E-01,5.29E-01
1.30E+00,-1.64E-02,5.97E-01,5.97E-01
1.32E+00,-1.02E-02,6.06E-01,6.06E-01
1.33E+00,-2.17E-02,6.11E-01,6.11E-01
1.35E+00,-2.83E-02,6.20E-01,6.21E-01
1.37E+00,-1.87E-02,6.21E-01,6.21E-01
1.38E+00,-2.06E-02,6.21E-01,6.21E-01
1.40E+00,-2.59E-02,6.20E-01,6.21E-01
1.42E+00,-2.21E-02,6.25E-01,6.25E-01
1.43E+00,-1.21E-02,6.25E-01,6.25E-01
1.45E+00,-1.90E-02,6.25E-01,6.25E-01
1.47E+00,-2.54E-02,6.23E-01,6.23E-01
1.48E+00,-1.97E-02,6.27E-01,6.27E-01
1.50E+00,-1.33E-02,6.29E-01,6.30E-01
1.52E+00,-1.75E-02,6.26E-01,6.26E-01
1.53E+00,-2.72E-02,6.25E-01,6.25E-01
1.55E+00,-2.83E-02,6.26E-01,6.26E-01
1.57E+00,-1.98E-02,6.30E-01,6.30E-01
1.58E+00,-2.08E-02,6.26E-01,6.27E-01
1.60E+00,-3.21E-02,6.29E-01,6.30E-01
1.62E+00,-2.51E-02,6.33E-01,6.33E-01
1.63E+00,-1.64E-02,6.40E-01,6.40E-01
1.65E+00,-1.76E-02,6.45E-01,6.45E-01
1.67E+00,-3.16E-02,6.48E-01,6.49E-01
1.69E+00,-3.07E-02,6.40E-01,6.41E-01
1.70E+00,-2.45E-02,6.37E-01,6.37E-01
1.72E+00,-2.50E-02,6.36E-01,6.36E-01
1.74E+00,-2.54E-02,6.27E-01,6.27E-01
1.75E+00,-3.01E-02,6.36E-01,6.36E-01
1.77E+00,-2.52E-02,6.36E-01,6.36E-01
1.79E+00,-1.93E-02,6.33E-01,6.33E-01
1.80E+00,-2.99E-02,6.38E-01,6.38E-01
1.82E+00,-2.69E-02,6.32E-01,6.33E-01
1.84E+00,-1.43E-02,6.38E-01,6.38E-01
1.85E+00,-1.84E-02,6.46E-01,6.46E-01
1.87E+00,-2.49E-02,6.38E-01,6.39E-01
1.89E+00,-2.66E-02,6.35E-01,6.36E-01
1.90E+00,-2.01E-02,6.33E-01,6.34E-01
1.92E+00,-2.05E-02,6.29E-01,6.30E-01
1.94E+00,-2.87E-02,6.35E-01,6.35E-01
1.95E+00,-2.84E-02,6.42E-01,6.42E-01
1.97E+00,-1.82E-02,6.42E-01,6.42E-01
1.99E+00,-1.50E-02,6.45E-01,6.45E-01
2.00E+00,-2.67E-02,6.44E-01,6.45E-01
2.02E+00,-2.76E-02,6.39E-01,6.39E-01
2.04E+00,-1.77E-02,6.40E-01,6.40E-01
2.05E+00,-1.80E-02,6.39E-01,6.39E-01
2.07E+00,-3.76E-02,6.40E-01,6.41E-01
2.09E+00,-3.71E-02,6.37E-01,6.38E-01
2.10E+00,-1.74E-02,6.38E-01,6.38E-01
2.12E+00,-1.89E-02,6.49E-01,6.49E-01
2.14E+00,-2.98E-02,6.42E-01,6.43E-01
2.15E+00,-3.14E-02,6.41E-01,6.41E-01
,,,